Date,z1,z2
1/1/1994,1272,619
1/2/1994,1337,686
1/3/1994,1564,747
1/4/1994,1465,692
1/5/1994,1526,691
1/6/1994,1409,621
1/7/1994,1439,628
1/8/1994,1450,656
1/9/1994,1474,677
1/10/1994,1450,715
1/11/1994,1511,646
1/12/1994,1455,629
1/1/1995,1407,626
1/2/1995,1316,559
1/3/1995,1249,616
1/4/1995,1267,621
1/5/1995,1314,674
1/6/1995,1281,725
1/7/1995,1461,765
1/8/1995,1416,701
1/9/1995,1369,678
1/10/1995,1369,696
1/11/1995,1452,664
1/12/1995,1431,709
1/1/1996,1467,714
1/2/1996,1491,769
1/3/1996,1424,721
1/4/1996,1516,736
1/5/1996,1504,746
1/6/1996,1467,721
1/7/1996,1472,770
1/8/1996,1557,826
1/9/1996,1475,770
1/10/1996,1392,720
1/11/1996,1489,771
1/12/1996,1370,805
1/1/1997,1355,830
1/2/1997,1486,801
1/3/1997,1457,831
1/4/1997,1492,744
1/5/1997,1442,760
1/6/1997,1494,793
1/7/1997,1437,805
1/8/1997,1390,815
1/9/1997,1546,840
1/10/1997,1520,800
1/11/1997,1510,864
1/12/1997,1566,793
1/1/1998,1525,872
1/2/1998,1584,866
1/3/1998,1567,836
1/4/1998,1540,866
1/5/1998,1536,887
1/6/1998,1641,923
1/7/1998,1698,876
1/8/1998,1614,846
1/9/1998,1582,864
1/10/1998,1715,893
1/11/1998,1660,995
1/12/1998,1792,949
1/1/1999,1748,875
1/2/1999,1670,848
1/3/1999,1710,863
1/4/1999,1553,918
1/5/1999,1611,888
1/6/1999,1559,923
1/7/1999,1669,900
1/8/1999,1648,893
1/9/1999,1635,826
1/10/1999,1608,872
1/11/1999,1648,863
1/12/1999,1708,873
1/1/2000,1636,873
1/2/2000,1737,856
1/3/2000,1604,900
1/4/2000,1626,841
1/5/2000,1575,857
1/6/2000,1559,793
1/7/2000,1463,887
1/8/2000,1541,848
1/9/2000,1507,912
1/10/2000,1549,933
1/11/2000,1551,880
1/12/2000,1532,983
1/1/2001,1600,936
1/2/2001,1625,963
1/3/2001,1590,939
1/4/2001,1649,909
1/5/2001,1605,885
1/6/2001,1636,882
1/7/2001,1670,880
1/8/2001,1567,866
1/9/2001,1562,853
1/10/2001,1540,871
1/11/2001,1602,924
1/12/2001,1568,979
1/1/2002,1698,880
1/2/2002,1829,948
1/3/2002,1642,923
1/4/2002,1592,936
1/5/2002,1764,978
1/6/2002,1717,957
1/7/2002,1655,956
1/8/2002,1633,1014
1/9/2002,1804,1044
1/10/2002,1648,1006
1/11/2002,1753,1024
1/12/2002,1788,1048
1/1/2003,1853,999
1/2/2003,1629,936
1/3/2003,1726,999
1/4/2003,1643,1012
1/5/2003,1751,1078
1/6/2003,1867,1193
1/7/2003,1897,1168
1/8/2003,1833,1206
1/9/2003,1939,1131
1/10/2003,1967,1144
1/11/2003,2083,1093
1/12/2003,2057,1129
1/1/2004,1911,1165
1/2/2004,1846,1159
1/3/2004,1998,1276
1/4/2004,2003,1186
1/5/2004,1981,1241
1/6/2004,1828,1180
1/7/2004,2002,1088
1/8/2004,2024,1175
1/9/2004,1905,1214
1/10/2004,2072,1305
1/11/2004,1782,1179
1/12/2004,2042,1242
1/1/2005,2144,1203
1/2/2005,2207,1319
1/3/2005,1864,1328
1/4/2005,2061,1260
1/5/2005,2025,1286
1/6/2005,2068,1274
1/7/2005,2054,1389
1/8/2005,2095,1255
1/9/2005,2151,1244
1/10/2005,2065,1336
1/11/2005,2147,1214
1/12/2005,1994,1239
1/1/2006,2273,1174
1/2/2006,2119,1061
1/3/2006,1969,1116
1/4/2006,1821,1123
1/5/2006,1942,1086
1/6/2006,1802,1074
1/7/2006,1737,965
1/8/2006,1650,1035
1/9/2006,1720,1016
1/10/2006,1491,941
1/11/2006,1570,1003
1/12/2006,1649,998
1/1/2007,1409,891
1/2/2007,1480,828
1/3/2007,1495,833
1/4/2007,1490,887
1/5/2007,1415,842
1/6/2007,1448,793
1/7/2007,1354,778
1/8/2007,1330,699
1/9/2007,1183,686
1/10/2007,1264,727
1/11/2007,1197,641
1/12/2007,1037,619
1/1/2008,1084,627
1/2/2008,1103,593
1/3/2008,1005,535
1/4/2008,1013,536
1/5/2008,973,504
1/6/2008,1046,487
1/7/2008,923,477
1/8/2008,844,435
1/9/2008,820,433
1/10/2008,777,393
1/11/2008,652,389
